iso3c,countryname,year,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,total
PSE,Palestine,2020,338400,328260,289880,254250,245440,229280,181680,144760,121590,99530,83190,65810,45050,33950,24260,16070,8830,3270,820,130,10,2514460
SDN,Sudan,2020,3123260,2855330,2626500,2371790,2058300,1719860,1405370,1230970,1049280,873910,727800,581230,455560,347670,242040,150930,79470,31970,8940,1620,170,21941970
SUR,Suriname,2020,25140,25380,24870,24380,23510,23060,20900,20000,17620,18970,16330,16290,11070,8400,6440,4480,2950,1380,520,120,20,291830
SWE,Sweden,2020,292210,288460,284760,264280,263740,358690,339970,306390,298870,323060,334430,304750,283400,266310,289350,223810,149640,98700,51730,15950,1830,5040330
CHE,Switzerland,2020,220550,210680,199670,208410,237940,274080,296000,309620,283610,296220,334880,319580,265430,225860,219580,178530,130570,89060,46950,12380,1390,4360990
SYR,Syria,2020,939510,841470,858220,771540,785160,730030,749360,700330,561890,428870,355610,309450,242730,190510,110920,83020,48880,24850,6960,1170,130,8740610
TJK,Tajikistan,2020,659220,594210,474740,395370,408360,402210,394610,301820,237880,209750,191870,170460,128120,75460,41880,20640,16930,6170,1970,240,10,4731920
THA,Thailand,2020,1745640,1867110,1996570,2133660,2357990,2395210,2234970,2401260,2728490,2925120,2940320,2676630,2328610,1763670,1269430,901460,633730,349290,144020,34690,6060,35833930
TLS,Timor-Leste,2020,87390,75470,75650,75480,63950,56840,44520,34120,23300,26640,23620,19900,15100,10190,9450,6060,3180,1040,260,30,0,652190
TGO,Togo,2020,608390,558500,510130,443720,370590,315160,283650,249500,209400,168050,131100,102250,78350,57840,38950,21790,9110,2450,380,30,0,4159340
TON,Tonga,2020,5940,6020,5720,5490,4650,3740,3220,3300,2800,2610,2440,1920,1570,1250,880,630,390,170,50,10,0,52800
TTO,Trinidad and Tobago,2020,43460,47290,47490,44190,42420,48330,58060,63230,50750,45610,42260,47710,39020,31560,23660,16810,9730,4630,1840,440,60,708550
TUN,Tunisia,2020,489090,491580,411080,378340,395180,447390,478780,500670,438970,373370,371640,329380,275010,221590,138200,97110,70650,37310,10230,2120,190,5957880
TUR,Turkey,2020,3210420,3349380,3311140,3332950,3320750,3159470,3176460,3191500,3030870,2776680,2439490,2163510,1865430,1533570,1108610,799190,521530,300440,95420,14980,1140,42702930
TKM,Turkmenistan,2020,325570,331290,258870,239580,228370,272220,263080,219240,192430,164170,146010,138410,112540,77330,39610,20360,20420,8520,3250,560,60,3061890
UGA,Uganda,2020,3857590,3498880,3072370,2620840,2204510,1831060,1483160,1174830,919350,705750,550340,416790,312640,234340,156620,94370,42320,15960,2550,150,10,23194430
UKR,Ukraine,2020,1026310,1201000,1166310,958720,1045250,1343700,1759950,1795260,1710170,1595650,1504000,1723700,1702000,1612780,1135680,837580,867350,308350,151730,23470,1670,23470630
ARE,United Arab Emirates,2020,244290,251010,222420,188930,228500,351160,473810,406650,238110,157920,120990,86040,42280,19920,12070,5010,2750,1610,430,150,20,3054070
GBR,United Kingdom,2020,1915130,2011020,1933970,1805520,2001970,2208930,2345770,2308360,2159880,2167780,2353120,2306540,1985180,1734370,1763850,1304710,969610,638890,320630,95560,12820,34343610
TZA,United Republic of Tanzania,2020,4813930,4262110,3785390,3192430,2622050,2289010,1956290,1634570,1345480,1072700,841850,654840,503460,369650,271830,162150,77360,24230,3610,180,10,29883130
USA,United States of America,2020,9621270,9798760,10311970,10408590,10936010,11690880,11349970,10756920,10176020,10084700,10258270,10840210,10619260,9353750,7709340,5400750,3655580,2372450,1348010,447630,76310,167216650
VIR,United States Virgin Islands,2020,2900,3350,3640,3270,3120,3110,2580,2820,3030,3320,3780,3910,3940,3620,3500,2500,1420,700,260,70,10,54850
URY,Uruguay,2020,115660,115720,113960,120240,124870,126820,118840,111000,118230,111680,101540,101980,95540,81040,70490,57740,46050,34360,20080,7620,1940,1795400
UZB,Uzbekistan,2020,1664770,1598170,1424810,1239220,1362650,1548650,1506820,1282190,1066680,935520,819200,796570,623400,416400,195020,130010,98630,44110,16220,2890,390,16772320
VUT,Vanuatu,2020,20420,18710,17850,14300,12720,13140,12040,9140,8040,6450,5600,4440,3260,2260,1550,810,570,150,20,0,0,151470
VEN,Venezuela,2020,1160540,1336350,1298050,1225540,1046900,1025260,1056110,1010920,963840,875200,827000,737930,620430,461510,329790,218040,135570,75360,33710,10880,2090,14451020
VNM,Vietnam,2020,3727630,3581340,3364140,3136020,3320020,4205670,4158120,3848230,3508290,3272310,2960410,2711510,2318810,1672280,987160,703520,562520,416160,195570,72540,18080,48740330
ESH,Western Sahara,2020,27930,27790,24700,24070,24650,26640,26430,23910,20970,17290,13360,10020,7920,4770,2370,1280,660,250,70,10,0,285090
YEM,Yemen,2020,2015460,1919840,1740380,1574070,1443110,1388310,1155790,902590,667210,491440,409630,350040,265460,196230,140730,80600,40710,15040,3730,570,50,14800990
ZMB,Zambia,2020,1456970,1346210,1205810,1059260,880140,729750,611830,507130,410790,307990,223200,172860,130470,95900,67560,42950,22540,8060,1430,100,0,9280950
ZWE,Zimbabwe,2020,1042890,1101200,958360,822190,705690,601590,564570,484100,397610,280770,210340,173040,140980,113320,72320,56590,30850,11760,2490,230,20,7770910
