country,R0,dose,Reff,0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70+
China,2.6,0.6,2.059611976,0.176982047,0,0,1,0.764052735,0.857032117,0.994996889,1
China,2.6,0.6,2.060129322,0.043110923,0,0.195998691,0.741207174,1,0.830157163,1,1
China,2.6,0.6,2.060957594,0.076108066,0.110876891,0.108311604,0.577226009,1,0.990442623,1,0.939269514
China,2.6,0.6,2.060964808,0.13590762,0,0,0.757432339,0.971225423,1,0.902549298,1
China,2.6,0.6,2.061119045,0.164283559,0.098396148,0.023432956,0.989538076,0.553946176,1,0.985586245,0.988765336
China,2.6,0.6,2.061222162,0.095902949,0.052527878,0.137840721,0.687284438,0.978387338,0.87523843,1,1
China,2.6,0.6,2.061440338,0.008667953,0.155126051,0.067841105,0.684194945,1,0.935229096,0.956893055,1
China,2.6,0.6,2.0620523,0.101245554,0,0.215018784,1,0.582040939,0.909653586,1,1
China,2.6,0.6,2.062337164,0.1242963,0,0.196853939,0.808665324,0.803653563,0.888586782,1,1
China,2.6,0.6,2.062450253,0.052020805,0.296801866,0,0.982020446,0.502467311,1,1,1
China,2.6,0.6,2.062506996,0.180212139,0,0.259079863,0.469398102,0.950874807,1,1,1
China,2.6,0.6,2.062658659,0.080562829,0.202409371,0.083527768,1,0.462098507,1,1,1
China,2.6,0.6,2.06329587,0.344938885,0.009994436,0,0.721742187,0.779741628,1,1,0.973796908
China,2.6,0.6,2.063419497,0.077897168,0,0.222730496,0.700263564,0.867938386,1,1,0.890802084
China,2.6,0.6,2.063439345,0.331784407,0,0.047267215,0.728579421,0.745575301,1,1,0.983764549
China,2.6,0.6,2.063442756,0.018775571,0.207809052,0.142223336,0.662010099,0.890578337,0.925832346,1,1
China,2.6,0.6,2.063580144,0.156292267,0.167192225,0.074313155,0.846022588,0.600376736,1,1,1
China,2.6,0.6,2.06486115,0.112225622,0.048898553,0.143864871,0.579646543,1,1,0.955383603,0.956275355
China,2.6,0.6,2.065200015,0.05619117,0.054260583,0.092234616,1,0.788340564,0.833416345,1,0.93616979
China,2.6,0.6,2.065447873,0.056737051,0,0,1,0.823957622,0.994553538,0.843480679,1
China,2.6,0.6,2.065765229,0.092067985,0.223479019,0.099370729,0.609128985,0.896929537,0.941778217,1,1
China,2.6,0.6,2.065933025,0.145845023,0.172913256,0.089777644,0.831547401,0.619189046,1,1,0.971598411
China,2.6,0.6,2.065947536,0.133250897,0.104783076,0.154705794,0.896970506,0.623702425,0.922345238,1,1
China,2.6,0.6,2.066039208,0.035608916,0.019458536,0.077502628,1,0.743716085,1,0.985173373,0.802837988
China,2.6,0.6,2.066148121,0.077436993,0.109287527,0,0.800330066,0.904719176,1,1,0.811929601
China,2.6,0.6,2.067154983,0.002285369,0,0.47384625,0.584987567,0.901340134,0.88684064,1,1
China,2.6,0.6,2.067231979,0.093696276,0.123888612,0.075050931,0.917512443,0.694027636,0.958531852,0.936547955,1
China,2.6,0.6,2.06759024,0.118038523,0,0.394476898,0.375901329,1,1,1,0.962502393
China,2.6,0.6,2.067782812,0.183512501,0.039017063,0.100533817,0.859601192,0.722365223,0.961327524,0.940502734,1
China,2.6,0.6,2.068421659,0.134456328,0,0,1,0.939495831,0.755894356,1,0.908829444
China,2.6,0.6,2.068968479,0.126407045,0.224208006,0.03725343,0.936309936,0.559910906,0.98378769,1,0.940370917
China,2.6,0.6,2.070040049,0.085257938,0.191715727,0.165518645,0.480030108,0.987433131,1,1,0.910856003
China,2.6,0.6,2.070213519,0.229365177,0.201081787,0.025737214,0.692189772,0.787356366,0.940901604,1,0.987772404
China,2.6,0.6,2.070513435,0.11486605,0.003492616,0.175288179,0.819605044,1,0.71586082,0.989856155,1
China,2.6,0.6,2.070846894,0.164981187,0.038864971,0.000127133,0.845206258,0.949174356,0.885557174,1,0.83557063
China,2.6,0.6,2.07110097,0.327710038,0,0,0.758656865,0.814610122,1,0.908033383,1
China,2.6,0.6,2.071858634,0.031230757,0.292141821,0.286106898,0.299550113,1,1,1,1
China,2.6,0.6,2.074397942,0.054719282,0,0.65878082,0.627640184,0.546650524,0.993523826,1,1
China,2.6,0.6,2.074794465,0.061382002,0.126792323,0.315821808,0.664376328,0.775652002,0.963129583,0.9913573,0.912389176
China,2.6,0.8,2.002090439,0.289495308,0,1,1,1,1,1,1
China,2.6,0.8,2.002090439,0.289495308,0,1,1,1,1,1,1
China,2.6,0.8,2.002090439,0.289495308,0,1,1,1,1,1,1
China,2.6,0.8,2.002349979,0.271862592,0.034403472,0.985295788,1,1,1,1,1
China,2.6,0.8,2.002580368,0.229295598,0.074017234,0.995114553,0.994961577,1,1,1,1
China,2.6,0.8,2.003875504,0.017948997,0.38042001,0.907989062,1,1,1,1,1
China,2.6,0.8,2.003935734,0.221863061,0.078662944,1,1,1,1,1,0.984069553
China,2.6,0.8,2.004546048,0.316283418,0,1,1,1,0.979423251,1,1
China,2.6,0.8,2.004671472,0.003685255,0.389185439,0.934727682,0.982622146,1,1,1,1
China,2.6,0.8,2.004737538,0.200382648,0.141151296,1,0.963694465,1,1,1,1
China,2.6,0.8,2.004806596,0.05553933,0.285052493,1,1,0.965007229,1,1,1
China,2.6,0.8,2.004913962,0.028248218,0.439061882,0.845726432,1,1,1,1,1
China,2.6,0.8,2.005221283,0.125003989,0.196738623,1,1,0.98637571,1,1,0.982062919
China,2.6,0.8,2.005393464,0.392989083,0.044085761,0.878565981,1,1,0.98863671,1,1
China,2.6,0.8,2.005443887,0.390549817,0,0.946507369,0.973294432,1,0.994456548,1,1
China,2.6,0.8,2.005614638,0.260688965,0.194760683,0.857233259,1,0.999222596,1,1,0.990512379
China,2.6,0.8,2.005773127,0.542327959,0,0.766940284,1,1,1,1,1
China,2.6,0.8,2.006019629,0.287624499,0.191377972,0.847421236,1,0.986176327,1,0.997836129,1
China,2.6,0.8,2.006026404,0.287752734,0.129580687,0.934763394,0.959738895,1,1,1,1
China,2.6,0.8,2.006043784,0.052734715,0.387357166,0.877361288,1,1,1,0.990624584,1
China,2.6,0.8,2.006181267,0.117759947,0.436133882,0.765849783,1,1,1,1,1
China,2.6,0.8,2.006414544,0.234277059,0.339274072,0.745604227,1,1,1,1,1
China,2.6,0.8,2.006653691,0.18610626,0.341413791,0.810746037,0.981662783,1,1,1,1
China,2.6,0.8,2.006881216,0.176449709,0.328967423,0.841313024,1,0.971617365,1,1,1
China,2.6,0.8,2.006894384,0.408850642,0.104252542,0.803904623,1,1,1,1,0.985398985
